id,name,category,subcategory,latitude,longitude,city,description,rating,match_confidence,opening_hours,opening_hours_source,has_opening_hours,is_24_7,is_likely_open,has_match_confidence,score,has_valid_source,visit_duration,tags,tags_str
334758,Plaça de la revolució de setembre del 1868,cultural,square,41.4027,2.15814,Barcelona,,4.4,0.42,Mo-Th 09:00-02:30; Fr 09:00-03:00; Sa 11:00-03:00; Su 18:00-02:00,OSM,True,False,True,True,3.206,True,20,"['has_schedule', 'outdoor', 'quick_visit', 'urban']",has_schedule|outdoor|quick_visit|urban
334759,La plaza del Diamante,cultural,square,41.404,2.15621,Barcelona,,3.6,0.53,Su 11:00+;PH off,OSM,True,False,True,True,2.679,True,20,"['has_schedule', 'outdoor', 'quick_visit', 'urban']",has_schedule|outdoor|quick_visit|urban
334760,Plaça de la Virreina,cultural,square,41.405,2.15725,Barcelona,,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,20,"['outdoor', 'quick_visit', 'urban']",outdoor|quick_visit|urban
334761,Plaça del Nord,cultural,square,41.407,2.15548,Barcelona,,4.1,0.43,"Mo-Fr 07:00-16:00; Mo-We 18:00-23:00; Th,Fr 18:00-01:30; Sa 12:00-16:00",OSM,True,False,True,True,2.9989999999999997,True,20,"['has_schedule', 'outdoor', 'quick_visit', 'urban']",has_schedule|outdoor|quick_visit|urban
334762,Plaça de Rovira i Trias,cultural,square,41.4076,2.15842,Barcelona,,3.5,0.5037655860349127,,,False,False,False,False,2.2109602244389026,False,20,"['outdoor', 'quick_visit', 'urban']",outdoor|quick_visit|urban
335162,Escola Massana,cultural,library,41.381,2.17081,Barcelona,,4.4,0.5037655860349127,,,False,False,False,False,2.746460224438903,False,60,"['culture', 'indoor']",culture|indoor
335163,,unknown,,,,Barcelona,,4.4,0.5037655860349127,,,False,False,False,False,2.746460224438903,False,45,[],
335164,Biblioteca Xavier Benguerel,cultural,library,41.3924,2.19773,Barcelona,,3.8,0.3,Mo-Su 09:00-17:00,OSM,True,False,True,True,2.7499999999999996,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335166,Biblioteca del Colegio Oficial de Abogados de Barcelona,cultural,library,41.3957,2.16477,Barcelona,,4.6,0.37,Oct 01-May 22: Mo-Th 08:15-16:30; Fr 08:15-14:30; May 23-Sep 30: Mo-Fr 08:15-14:30,OSM,True,False,True,True,3.331,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335168,Biblioteca del Convento de los Padres Carmelitas Descalzos de Cataluña y Baleares,cultural,library,41.3975,2.16237,Barcelona,,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,60,"['culture', 'indoor']",culture|indoor
335170,Jardín botánico de Barcelona,park,conservatory,41.3623,2.16105,Barcelona,,4.6,0.93,"Nov-Mar: 10:00-18:00; Apr-May,Sep-Oct: 10:00-19:00; Jun-Aug: 10:00-20:00; Dec 25,Jan 01,May 01,Jun 24: off",OSM,True,False,True,True,3.4989999999999997,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335172,Mancomunitat de Municipis de l'Àrea Metropolitana,tourist_attraction,attraction,41.3463,2.1421,Barcelona,,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,60,[],
335174,Reial Acadèmia de Ciències Naturals i Arts de Barcelona,cultural,library,41.3842,2.17074,Barcelona,,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,60,"['culture', 'indoor']",culture|indoor
335178,Biblioteca Ventosa i Roig,cultural,library,41.3933,2.16603,Barcelona,,4.8,0.36,"Mo-Su 13:00-16:00, 20:00-00:00",OSM,True,False,True,True,3.468,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335179,Teatre de l'Orfeó Gracienc,cultural,library,41.4047,2.15642,Barcelona,,4.5,0.73,Mo-Fr 16:30-21:30,OSM,True,False,True,True,3.3689999999999998,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
