id,name,category,subcategory,latitude,longitude,city,description,rating,match_confidence,opening_hours,opening_hours_source,has_opening_hours,is_24_7,is_likely_open,has_match_confidence,score,has_valid_source,visit_duration,tags,tags_str,content_base,content_length,has_content_text,cluster_geo,has_cluster_geo,visit_duration_filled,rating_filled,match_confidence_filled,score_norm,rating_norm,match_confidence_norm,visit_duration_norm,quality_signal,similarity_score
833,Fuente de Neptuno (Barcelona),fountain,fountain,41.3791,2.17932,Barcelona,fountain,4.5,0.52,Mo-Sa 10:00-19:00,OSM,True,False,True,True,3.306,True,10,['has_schedule' 'outdoor' 'quick_visit' 'urban'],has_schedule|outdoor|quick_visit|urban,fuente de neptuno (barcelona) fountain fountain fountain has_schedule|outdoor|quick_visit|urban,95,True,1,True,10,4.5,0.52,0.7895055484643081,0.8095238095238094,0.4893617021276596,0.0,0.749489,
834,A Galceran Marquet,fountain,fountain,41.3783,2.17897,Barcelona,sculpture,4.3,0.44,"Su, Tu-We 17:00-00:30; Th 17:00-01:00; Fr-Sa 17:00-02:00",OSM,True,False,True,True,3.142,True,10,['has_schedule' 'outdoor' 'quick_visit' 'urban'],has_schedule|outdoor|quick_visit|urban,a galceran marquet fountain fountain sculpture has_schedule|outdoor|quick_visit|urban,85,True,1,True,10,4.3,0.44,0.7038452753827857,0.7142857142857141,0.4042553191489362,0.0,0.661517,
841,Fuente de los Niños,fountain,fountain,41.3881,2.18402,Barcelona,fountain,3.5,0.5037655860349127,,,False,False,False,False,2.2109602244389026,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,fuente de los niños fountain fountain fountain outdoor|quick_visit|urban,72,True,1,True,10,3.5,0.5037655860349127,0.2175457545027686,0.3333333333333333,0.47209104897331144,0.0,0.284674,
842,Jardines del Umbráculo,park,conservatory,41.3687,2.1577,Barcelona,garden,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,60,['culture' 'indoor'],culture|indoor,jardines del umbráculo park conservatory garden culture|indoor,62,True,5,True,60,4.8,0.5037655860349127,0.6215592985793386,0.9523809523809521,0.47209104897331144,0.45454545454545453,0.681844,
862,Projecte Forestier,fountain,fountain,41.4195,2.16933,Barcelona,geographical feature,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,projecte forestier fountain fountain geographical feature outdoor|quick_visit|urban,83,True,4,True,10,4.5,0.5037655860349127,0.528325403792438,0.8095238095238094,0.47209104897331144,0.0,0.59019,
875,Bombardeos aéreos de Barcelona en enero de 1938,monument,memorial,41.3833,2.17505,Barcelona,battle,4.4,0.62,"Mo-Fr 10:30-21:00; Sa-Su 10:30-14:00, 15:00-21:00",OSM,True,False,True,True,3.266,True,20,['has_schedule' 'historic' 'quick_visit' 'touristic'],has_schedule|historic|quick_visit|touristic,bombardeos aéreos de barcelona en enero de 1938 monument memorial battle has_schedule|historic|quick_visit|touristic,116,True,1,True,20,4.4,0.62,0.7686127989322294,0.761904761904762,0.5957446808510639,0.09090909090909091,0.741006,
919,Fuente de Ceres,fountain,fountain,41.367,2.14471,Barcelona,fountain,4.4,0.5037655860349127,,,False,False,False,False,2.746460224438903,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,fuente de ceres fountain fountain fountain outdoor|quick_visit|urban,68,True,5,True,10,4.4,0.5037655860349127,0.4972474388634711,0.761904761904762,0.47209104897331144,0.0,0.559638,
954,Montbau,fountain,fountain,41.4309,2.143,Barcelona,neighborhood,4.0,0.5037655860349127,,,False,False,False,False,2.5084602244389025,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,montbau fountain fountain neighborhood outdoor|quick_visit|urban,64,True,0,True,10,4.0,0.5037655860349127,0.37293557914760317,0.5714285714285714,0.47209104897331144,0.0,0.437432,
1011,Fuente de la Plaza de España (Barcelona),fountain,fountain,41.375,2.14916,Barcelona,sculpture,4.2,0.5037655860349127,,,False,False,False,False,2.6274602244389027,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,fuente de la plaza de españa (barcelona) fountain fountain sculpture outdoor|quick_visit|urban,94,True,5,True,10,4.2,0.5037655860349127,0.4350915090055371,0.6666666666666666,0.47209104897331144,0.0,0.498535,
1017,Turó de la Rovira,historic,bunker,41.4194,2.16174,Barcelona,mountain,4.3,0.5037655860349127,,,False,False,False,False,2.6869602244389026,False,20,['quick_visit'],quick_visit,turó de la rovira historic bunker mountain quick_visit,54,True,3,True,20,4.3,0.5037655860349127,0.466169473934504,0.7142857142857141,0.47209104897331144,0.09090909090909091,0.529087,
